2022 National Employment Matrix title,2022 National Employment Matrix code,Occupation type,"Employment, 2022","Employment, 2032","Employment change, numeric, 2022-32","Employment change, percent, 2022-32","Percent self employed, 2022","Occupational openings, 2022-32 annual average","Median annual wage, 2022(1)",Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation
      Cabinetmakers and bench carpenters,51-7011,Line item,105.7,103.7,-2,-1.9,8.9,9.8,"$38,810 ",High school diploma or equivalent,None,Moderate-term on-the-job training
      Furniture finishers,51-7021,Line item,19.2,19.1,-0.1,-0.7,21.8,2.2,"$37,960 ",High school diploma or equivalent,None,Short-term on-the-job training
"      Model makers and patternmakers, wood",51-7030,Summary,1.6,1.5,-0.1,-4,31.4,0.2,"$46,100 ",,,
"        Model makers, wood",51-7031,Line item,1.1,1,0,-3.6,31.5,0.1,"$46,940 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"        Patternmakers, wood",51-7032,Line item,0.5,0.5,0,-5.1,31.3,0.1,"$44,290 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"      Woodworking machine setters, operators, and tenders",51-7040,Summary,114,113.4,-0.6,-0.5,2.1,11.4,"$36,580 ",,,
"        Sawing machine setters, operators, and tenders, wood",51-7041,Line item,49.4,49.5,0.1,0.1,4.8,5.5,"$36,270 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"        Woodworking machine setters, operators, and tenders, except sawing",51-7042,Line item,64.6,63.9,-0.6,-1,,5.9,"$36,830 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"      Woodworkers, all other",51-7099,Line item,13.5,13,-0.5,-3.6,31.4,1.5,"$35,370 ",High school diploma or equivalent,None,Moderate-term on-the-job training
    Plant and system operators,51-8000,Summary,287.8,273,-14.8,-5.1,0.5,24.2,"$64,990 ",,,
"      Power plant operators, distributors, and dispatchers",51-8010,Summary,47.3,42.6,-4.7,-10,,3.2,"$97,570 ",,,
        Nuclear power reactor operators,51-8011,Line item,5.5,5.3,-0.2,-3.3,,0.4,"$115,870 ",High school diploma or equivalent,None,Long-term on-the-job training
        Power distributors and dispatchers,51-8012,Line item,9.6,9.1,-0.5,-5,,0.7,"$101,650 ",High school diploma or equivalent,None,Long-term on-the-job training
        Power plant operators,51-8013,Line item,32.2,28.2,-4,-12.5,,2.1,"$93,060 ",High school diploma or equivalent,None,Long-term on-the-job training
      Stationary engineers and boiler operators,51-8021,Line item,33.5,34.4,1,2.8,,3.6,"$67,120 ",High school diploma or equivalent,None,Long-term on-the-job training
      Water and wastewater treatment plant and system operators,51-8031,Line item,124.8,116.9,-7.9,-6.3,1.2,10.5,"$51,600 ",High school diploma or equivalent,None,Long-term on-the-job training
      Miscellaneous plant and system operators,51-8090,Summary,82.2,79.1,-3.1,-3.8,,7,"$79,210 ",,,
        Chemical plant and system operators,51-8091,Line item,19.3,18.6,-0.6,-3.2,,1.7,"$82,670 ",High school diploma or equivalent,None,Moderate-term on-the-job training
        Gas plant operators,51-8092,Line item,14.8,13,-1.7,-11.7,,1.1,"$79,460 ",High school diploma or equivalent,None,Long-term on-the-job training
"        Petroleum pump system operators, refinery operators, and gaugers",51-8093,Line item,32.2,31.5,-0.7,-2.3,,2.8,"$85,090 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"        Plant and system operators, all other",51-8099,Line item,15.9,15.9,0,-0.2,,1.4,"$57,470 ",High school diploma or equivalent,None,Moderate-term on-the-job training
    Other production occupations,51-9000,Summary,"2,655.30","2,603.90",-51.4,-1.9,3.1,282.1,"$39,960 ",,,
"      Chemical processing machine setters, operators, and tenders",51-9010,Summary,175.9,171.2,-4.6,-2.6,1.2,15.6,"$48,260 ",,,
        Chemical equipment operators and tenders,51-9011,Line item,120.2,113.7,-6.6,-5.5,1.2,10.2,"$49,330 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"        Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders",51-9012,Line item,55.6,57.6,1.9,3.4,1.2,5.4,"$46,250 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"      Crushing, grinding, polishing, mixing, and blending workers",51-9020,Summary,157.3,155.2,-2.1,-1.3,1.5,15.7,"$42,120 ",,,
"        Crushing, grinding, and polishing machine setters, operators, and tenders",51-9021,Line item,28.8,27.8,-1,-3.5,1.5,2.8,"$43,290 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"        Grinding and polishing workers, hand",51-9022,Line item,14.5,11.7,-2.8,-19.5,1.5,1,"$36,960 ",No formal educational credential,None,Moderate-term on-the-job training
"        Mixing and blending machine setters, operators, and tenders",51-9023,Line item,114,115.8,1.7,1.5,1.5,11.8,"$43,410 ",High school diploma or equivalent,None,Moderate-term on-the-job training
      Cutting workers,51-9030,Summary,64,59.4,-4.6,-7.2,1.1,6.1,"$39,410 ",,,
"        Cutters and trimmers, hand",51-9031,Line item,8.3,5.9,-2.3,-28.2,1.1,0.5,"$36,130 ",No formal educational credential,None,Short-term on-the-job training
"        Cutting and slicing machine setters, operators, and tenders",51-9032,Line item,55.8,53.4,-2.3,-4.1,1.1,5.6,"$39,880 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"      Extruding, forming, pressing, and compacting machine setters, operators, and tenders",51-9041,Line item,60,59.2,-0.8,-1.3,,5.8,"$39,480 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"      Furnace, kiln, oven, drier, and kettle operators and tenders",51-9051,Line item,16.2,16.2,0.1,0.4,5,1.8,"$44,530 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"      Inspectors, testers, sorters, samplers, and weighers",51-9061,Line item,595.4,572.4,-23,-3.9,1.1,64.3,"$43,900 ",High school diploma or equivalent,None,Moderate-term on-the-job training
      Jewelers and precious stone and metal workers,51-9071,Line item,47.2,45.8,-1.4,-2.9,45.5,6.1,"$47,140 ",High school diploma or equivalent,None,Long-term on-the-job training
      Dental and ophthalmic laboratory technicians and medical appliance technicians,51-9080,Summary,73.4,72.4,-1,-1.3,4.8,8.3,"$41,180 ",,,
        Dental laboratory technicians,51-9081,Line item,35.4,33.8,-1.6,-4.5,4.7,3.8,"$46,050 ",High school diploma or equivalent,None,Moderate-term on-the-job training
        Medical appliance technicians,51-9082,Line item,16.6,17.1,0.4,2.5,4.8,2,"$42,160 ",High school diploma or equivalent,None,Moderate-term on-the-job training
        Ophthalmic laboratory technicians,51-9083,Line item,21.3,21.6,0.2,1.1,4.8,2.5,"$36,810 ",High school diploma or equivalent,None,Moderate-term on-the-job training
      Packaging and filling machine operators and tenders,51-9111,Line item,373.2,390.5,17.3,4.6,0.3,42.4,"$36,750 ",High school diploma or equivalent,None,Moderate-term on-the-job training
      Painting workers,51-9120,Summary,185.9,186.9,1,0.5,10.2,16.7,"$43,370 ",,,
"        Painting, coating, and decorating workers",51-9123,Line item,13.5,13.5,0,0.1,10.1,1.2,"$38,270 ",No formal educational credential,None,Moderate-term on-the-job training
"        Coating, painting, and spraying machine setters, operators, and tenders",51-9124,Line item,172.4,173.4,1,0.6,10.2,15.5,"$43,960 ",High school diploma or equivalent,None,Moderate-term on-the-job training
      Semiconductor processing technicians,51-9141,Line item,24.6,26.6,2,8,,2.9,"$44,690 ",High school diploma or equivalent,None,Moderate-term on-the-job training
      Photographic process workers and processing machine operators,51-9151,Line item,6.4,5.6,-0.8,-12.5,15.6,0.7,"$36,280 ",High school diploma or equivalent,None,Short-term on-the-job training
      Computer numerically controlled tool operators and programmers,51-9160,Summary,210.3,200.2,-10.1,-4.8,,17.5,"$47,810 ",,,
        Computer numerically controlled tool operators,51-9161,Line item,181.8,167.2,-14.6,-8.1,,14.3,"$46,760 ",High school diploma or equivalent,None,Moderate-term on-the-job training
        Computer numerically controlled tool programmers,51-9162,Line item,28.5,33,4.6,16,,3.2,"$60,800 ",Postsecondary nondegree award,None,Moderate-term on-the-job training
      Miscellaneous production workers,51-9190,Summary,665.6,642.3,-23.3,-3.5,3.5,78.1,"$36,680 ",,,
        Adhesive bonding machine operators and tenders,51-9191,Line item,11.4,11.2,-0.3,-2.2,,1,"$38,780 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"        Cleaning, washing, and metal pickling equipment operators and tenders",51-9192,Line item,14,14.5,0.5,3.8,5.9,1.6,"$37,190 ",High school diploma or equivalent,None,Moderate-term on-the-job training
        Cooling and freezing equipment operators and tenders,51-9193,Line item,7.1,7.4,0.4,5.1,5.6,0.8,"$42,890 ",High school diploma or equivalent,None,Moderate-term on-the-job training
        Etchers and engravers,51-9194,Line item,8.5,8.4,0,-0.2,,1.3,"$37,980 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"        Molders, shapers, and casters, except metal and plastic",51-9195,Line item,44.7,45.8,1.1,2.4,11.1,5.8,"$39,590 ",High school diploma or equivalent,None,Long-term on-the-job training
"        Paper goods machine setters, operators, and tenders",51-9196,Line item,92.7,82.5,-10.2,-11,,8.8,"$45,710 ",High school diploma or equivalent,None,Moderate-term on-the-job training
        Tire builders,51-9197,Line item,18.9,18.1,-0.8,-4.3,,1.8,"$51,650 ",High school diploma or equivalent,None,Moderate-term on-the-job training
        Helpers--production workers,51-9198,Line item,193,175.1,-17.9,-9.3,0.7,26.9,"$34,670 ",High school diploma or equivalent,None,Short-term on-the-job training
"        Production workers, all other",51-9199,Line item,275.3,279.2,3.9,1.4,5.7,30.1,"$35,490 ",High school diploma or equivalent,None,Moderate-term on-the-job training
  Transportation and material moving occupations,53-0000,Summary,"14,302.80","15,082.20",779.4,5.4,4.1,"1,920.80","$37,940 ",,,
    Supervisors of transportation and material moving workers,53-1000,Summary,609.1,637.9,28.8,4.7,0.4,64.8,"$57,810 ",,,
      Aircraft cargo handling supervisors,53-1041,Line item,8,8.7,0.7,8.6,,0.9,"$53,490 ",High school diploma or equivalent,Less than 5 years,None
"      First-line supervisors of transportation and material moving workers, except aircraft cargo handling supervisors",53-1047,Line item,601.1,629.2,28.1,4.7,0.4,63.9,"$57,860 ",High school diploma or equivalent,Less than 5 years,None
    Air transportation workers,53-2000,Summary,291.7,311,19.3,6.6,0.5,36.9,"$95,010 ",,,
      Aircraft pilots and flight engineers,53-2010,Summary,142.6,148.1,5.6,3.9,0.9,16.8,"$148,900 ",,,
"        Airline pilots, copilots, and flight engineers",53-2011,Line item,91.7,95.2,3.5,3.9,,10.8,"$211,790 ",Bachelor's degree,Less than 5 years,Moderate-term on-the-job training
        Commercial pilots,53-2012,Line item,50.9,52.9,2.1,4,2.6,6,"$103,910 ",Postsecondary nondegree award,None,Moderate-term on-the-job training
      Air traffic controllers and airfield operations specialists,53-2020,Summary,38,39.1,1.1,2.8,,3.4,"$94,700 ",,,
        Air traffic controllers,53-2021,Line item,23,23.3,0.3,1.4,,2,"$132,250 ",Associate's degree,None,Long-term on-the-job training
        Airfield operations specialists,53-2022,Line item,15,15.8,0.7,4.9,,1.4,"$49,600 ",High school diploma or equivalent,None,Long-term on-the-job training
      Flight attendants,53-2031,Line item,111.1,123.8,12.6,11.4,,16.6,"$63,760 ",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
    Motor vehicle operators,53-3000,Summary,"4,887.00","5,224.70",337.7,6.9,10.1,589.2,"$45,460 ",,,
"      Ambulance drivers and attendants, except emergency medical technicians",53-3011,Line item,10.1,10.1,0,0.2,,1.4,"$30,380 ",High school diploma or equivalent,None,Moderate-term on-the-job training
      Driver/sales workers and truck drivers,53-3030,Summary,"3,897.80","4,162.80",265,6.8,7.5,445,"$46,300 ",,,
        Driver/sales workers,53-3031,Line item,541,582.9,41.9,7.7,7.6,62.5,"$32,690 ",High school diploma or equivalent,None,Short-term on-the-job training
        Heavy and tractor-trailer truck drivers,53-3032,Line item,"2,192.30","2,281.50",89.3,4.1,7.5,241.2,"$49,920 ",Postsecondary nondegree award,None,Short-term on-the-job training
        Light truck drivers,53-3033,Line item,"1,164.60","1,298.40",133.8,11.5,7.6,141.3,"$40,410 ",High school diploma or equivalent,None,Short-term on-the-job training
      Passenger vehicle drivers,53-3050,Summary,910.8,978.1,67.3,7.4,19.8,131.9,"$39,440 ",,,
"        Bus drivers, school",53-3051,Line item,358.8,363.7,4.9,1.4,0.5,55.2,"$41,270 ",High school diploma or equivalent,None,Short-term on-the-job training
"        Bus drivers, transit and intercity",53-3052,Line item,156.4,164.8,8.4,5.4,4.1,21.2,"$50,890 ",High school diploma or equivalent,None,Moderate-term on-the-job training
        Shuttle drivers and chauffeurs,53-3053,Line item,218.4,235.9,17.5,8,4.4,32.6,"$32,800 ",No formal educational credential,None,Short-term on-the-job training
        Taxi drivers,53-3054,Line item,177.3,213.7,36.4,20.6,91.5,22.8,"$30,670 ",No formal educational credential,None,Short-term on-the-job training
"      Motor vehicle operators, all other",53-3099,Line item,68.3,73.7,5.4,7.9,26.3,10.9,"$33,210 ",No formal educational credential,None,Short-term on-the-job training
    Rail transportation workers,53-4000,Summary,90.5,91.8,1.2,1.4,,7.7,"$68,960 ",,,
      Locomotive engineers and operators,53-4010,Summary,32.3,32.6,0.3,1,,2.6,"$73,770 ",,,
        Locomotive engineers,53-4011,Line item,29.7,29.9,0.2,0.8,,2.4,"$74,570 ",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
"        Rail yard engineers, dinkey operators, and hostlers",53-4013,Line item,2.6,2.6,0.1,2.4,,0.2,"$56,340 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"      Railroad brake, signal, and switch operators and locomotive firers",53-4022,Line item,12.2,12.3,0.1,1.2,,1.2,"$67,540 ",High school diploma or equivalent,None,Moderate-term on-the-job training
      Railroad conductors and yardmasters,53-4031,Line item,34.2,34.6,0.4,1.1,,2.8,"$68,180 ",High school diploma or equivalent,None,Moderate-term on-the-job training
      Subway and streetcar operators,53-4041,Line item,9.5,9.8,0.3,3.5,,1,"$88,260 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"      Rail transportation workers, all other",53-4099,Line item,2.4,2.4,0.1,2.2,,0.2,"$42,280 ",High school diploma or equivalent,None,Moderate-term on-the-job training
    Water transportation workers,53-5000,Summary,83.2,84.8,1.5,1.8,3.8,8.8,"$66,100 ",,,
      Sailors and marine oilers,53-5011,Line item,30.7,31.3,0.6,2,0.4,3.3,"$47,490 ",No formal educational credential,None,Moderate-term on-the-job training
      Ship and boat captains and operators,53-5020,Summary,43.2,44,0.8,1.8,6.9,4.5,"$87,320 ",,,
"        Captains, mates, and pilots of water vessels",53-5021,Line item,39.6,40.3,0.7,1.7,7,4.1,"$95,210 ",Postsecondary nondegree award,Less than 5 years,None
        Motorboat operators,53-5022,Line item,3.6,3.7,0.1,2.9,6.5,0.4,"$41,430 ",Postsecondary nondegree award,Less than 5 years,None
      Ship engineers,53-5031,Line item,9.3,9.4,0.1,1.3,,1,"$87,300 ",Postsecondary nondegree award,Less than 5 years,None
    Other transportation workers,53-6000,Summary,291.7,296.4,4.7,1.6,0.4,40.7,"$32,680 ",,,
      Bridge and lock tenders,53-6011,Line item,3.8,3.8,0,-0.8,,0.4,"$47,280 ",High school diploma or equivalent,None,Short-term on-the-job training
      Parking attendants,53-6021,Line item,108.4,110,1.6,1.5,,15.7,"$30,570 ",No formal educational credential,None,Short-term on-the-job training
      Transportation service attendants,53-6030,Summary,120.6,121.7,1.1,0.9,,17.7,"$31,820 ",,,
        Automotive and watercraft service attendants,53-6031,Line item,100.7,100.9,0.2,0.2,,14.6,"$30,850 ",No formal educational credential,None,Short-term on-the-job training
        Aircraft service attendants,53-6032,Line item,19.9,20.8,0.9,4.7,,3,"$37,050 ",High school diploma or equivalent,None,Short-term on-the-job training
      Traffic technicians,53-6041,Line item,7.6,7.9,0.3,3.5,,0.8,"$50,050 ",High school diploma or equivalent,None,Moderate-term on-the-job training
      Transportation inspectors,53-6051,Line item,25.7,26.4,0.7,2.7,3.1,2.4,"$79,570 ",High school diploma or equivalent,None,Moderate-term on-the-job training
      Passenger attendants,53-6061,Line item,13.5,14,0.6,4.1,,2.4,"$34,630 ",High school diploma or equivalent,None,Short-term on-the-job training
"      Transportation workers, all other",53-6099,Line item,12.1,12.6,0.5,3.9,1.9,1.3,"$37,430 ",High school diploma or equivalent,None,Short-term on-the-job training
    Material moving workers,53-7000,Summary,"8,049.40","8,435.60",386.2,4.8,1.1,"1,172.60","$35,670 ",,,
      Conveyor operators and tenders,53-7011,Line item,30.6,32.4,1.8,5.8,10.9,3.3,"$36,890 ",No formal educational credential,None,Short-term on-the-job training
      Crane and tower operators,53-7021,Line item,48.4,48.5,0.1,0.2,5.3,4.5,"$61,340 ",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
      Dredge operators,53-7031,Line item,1,1.1,0,0.3,9.9,0.1,"$47,090 ",High school diploma or equivalent,None,Moderate-term on-the-job training
      Hoist and winch operators,53-7041,Line item,2.8,2.7,0,-1.8,9.7,0.3,"$58,950 ",No formal educational credential,None,Short-term on-the-job training
      Industrial truck and tractor operators,53-7051,Line item,796.6,826.5,29.9,3.7,0.1,80.9,"$41,230 ",No formal educational credential,None,Short-term on-the-job training
      Laborers and material movers,53-7060,Summary,"6,952.90","7,301.60",348.7,5,1,"1,057.10","$34,880 ",,,
        Cleaners of vehicles and equipment,53-7061,Line item,401.8,416.8,15,3.7,7.8,55.3,"$31,000 ",No formal educational credential,None,Short-term on-the-job training
"        Laborers and freight, stock, and material movers, hand",53-7062,Line item,"2,988.50","3,147.30",158.8,5.3,1,411.7,"$36,110 ",No formal educational credential,None,Short-term on-the-job training
        Machine feeders and offbearers,53-7063,Line item,51.5,54.3,2.8,5.5,,8.5,"$38,040 ",No formal educational credential,None,Short-term on-the-job training
"        Packers and packagers, hand",53-7064,Line item,659.6,652.9,-6.6,-1,0.8,93,"$32,920 ",No formal educational credential,None,Short-term on-the-job training
        Stockers and order fillers,53-7065,Line item,"2,851.60","3,030.30",178.6,6.3,0.2,488.7,"$34,220 ",High school diploma or equivalent,None,Short-term on-the-job training
      Pumping station operators,53-7070,Summary,31.3,31.2,0,-0.1,0.4,3.1,"$60,180 ",,,
        Gas compressor and gas pumping station operators,53-7071,Line item,3.9,3.8,-0.1,-2.1,,0.4,"$59,990 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"        Pump operators, except wellhead pumpers",53-7072,Line item,11.2,11.6,0.4,3.6,,1.2,"$55,860 ",High school diploma or equivalent,None,Moderate-term on-the-job training
        Wellhead pumpers,53-7073,Line item,16.2,15.9,-0.4,-2.2,0.4,1.6,"$63,280 ",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
      Refuse and recyclable material collectors,53-7081,Line item,146.4,151.1,4.7,3.2,7.6,18.6,"$43,540 ",No formal educational credential,None,Short-term on-the-job training
"      Tank car, truck, and ship loaders",53-7121,Line item,13.3,13.5,0.2,1.6,3.3,1.6,"$53,930 ",No formal educational credential,None,Short-term on-the-job training
"      Material moving workers, all other",53-7199,Line item,26.1,27,0.9,3.5,3.1,3.2,"$38,800 ",No formal educational credential,None,Short-term on-the-job training
Footnotes:,,,,,,,,,,,,
"(1) Data are from the Occupational Employment and Wage Statistics program, U.S. Bureau of Labor Statistics. Wage data cover non-farm wage and salary workers and do not cover the self-employed, owners and partners in unincorporated firms, or household workers.",,,,,,,,,,,,
"Note: Data is unavailable for values denoted with a """".",,,,,,,,,,,,
"Source: Employment Projections program, U.S. Bureau of Labor Statistics",,,,,,,,,,,,
